"","PERSON_ID","PLAYER_LAST_NAME","PLAYER_FIRST_NAME","PLAYER_SLUG","TEAM_ID","TEAM_ABBREVIATION"
"2193","911","Johnson","Ervin","ervin-johnson","1610612749","MIL"
"2194","77146","Johnson","Frank","frank-johnson","1610612764","WAS"
"2195","77147","Johnson","George","george-johnson","1610612745","HOU"
"2196","77148","Johnson","George","george-johnson","1610612754","IND"
"2197","77149","Johnson","George","george-johnson","1610612744","GSW"
"2198","77150","Johnson","Gus","gus-johnson","1610612764","WAS"
"2199","77151","Johnson","Harold","harold-johnson","1610610028","DEF"
"2200","201274","Johnson","Ivan","ivan-johnson","1610612737","ATL"
"2201","202707","Johnson","JaJuan","jajuan-johnson","1610612738","BOS"
"2202","1630552","Johnson","Jalen","jalen-johnson","1610612737","ATL"
"2203","201949","Johnson","James","james-johnson","1610612754","IND"
"2204","2207","Johnson","Joe","joe-johnson","1610612738","BOS"
"2205","77152","Johnson","John","john-johnson","1610612760","OKC"
"2206","77153","Johnson","Kannard","kannard-johnson","1610612739","CLE"
"2207","1629640","Johnson","Keldon","keldon-johnson","1610612759","SAS"
"2208","2256","Johnson","Ken","ken-johnson","1610612748","MIA"
"2209","77154","Johnson","Ken","ken-johnson","1610612757","POR"
"2210","1630553","Johnson","Keon","keon-johnson","1610612751","BKN"
"2211","134","Johnson","Kevin","kevin-johnson","1610612756","PHX"
"2212","1641749","Johnson","Keyontae","keyontae-johnson","1610612760","OKC"
"2213","913","Johnson","Larry","larry-johnson","1610612766","CHA"
"2214","77156","Johnson","Larry","larry-johnson","1610612746","LAC"
"2215","77158","Johnson","Lee","lee-johnson","1610612745","HOU"
"2216","2669","Johnson","Linton","linton-johnson","1610612740","NOP"
"2217","77159","Johnson","Lynbert","lynbert-johnson","1610612744","GSW"
"2218","77142","Johnson","Magic","magic-johnson","1610612747","LAL"
"2219","77160","Johnson","Marques","marques-johnson","1610612749","MIL"
"2220","77168","Johnson","Mickey","mickey-johnson","1610612741","CHI"
"2221","77161","Johnson","Neil","neil-johnson","1610612756","PHX"
"2222","203910","Johnson","Nick","nick-johnson","1610612745","HOU"
"2223","77162","Johnson","Ollie","ollie-johnson","1610612758","SAC"
"2224","204179","Johnson","Omari","omari-johnson","1610612763","MEM"
"2225","203111","Johnson","Orlando","orlando-johnson","1610612754","IND"
"2226","77163","Johnson","Reggie","reggie-johnson","1610612759","SAS"
"2227","77164","Johnson","Rich","rich-johnson","1610612738","BOS"
"2228","77165","Johnson","Ron","ron-johnson","1610612747","LAL"
"2229","1626169","Johnson","Stanley","stanley-johnson","1610612759","SAS"
"2230","77166","Johnson","Steffond","steffond-johnson","1610612746","LAC"
"2231","77134","Johnson","Steve","steve-johnson","1610612758","SAC"
"2232","201234","Johnson","Trey","trey-johnson","1610612740","NOP"
"2233","204020","Johnson","Tyler","tyler-johnson","1610612759","SAS"
"2234","77167","Johnson","Vinnie","vinnie-johnson","1610612765","DET"
"2235","202325","Johnson","Wesley","wesley-johnson","1610612746","LAC"
"2236","203130","Johnson-Odom","Darius","darius-johnson-odom","1610612747","LAL"
"2237","77170","Johnston","Nate","nate-johnston","1610612757","POR"
"2238","77169","Johnston","Neil","neil-johnston","1610612744","GSW"
"2239","77171","Johnstone","Jim","jim-johnstone","1610612765","DET"
"2240","203999","Jokic","Nikola","nikola-jokic","1610612743","DEN"
"2241","77172","Jolliff","Howie","howie-jolliff","1610612747","LAL"
"2242","2264","Jones","Alvin","alvin-jones","1610612755","PHI"
"2243","77173","Jones","Anthony","anthony-jones","1610612742","DAL"
"2244","77174","Jones","Askia","askia-jones","1610612750","MIN"
"2245","77180","Jones","Bill","bill-jones","1610612751","BKN"
"2246","77193","Jones","Bobby","bobby-jones","1610612755","PHI"
"2247","200784","Jones","Bobby","bobby-jones","1610612755","PHI"
"2248","77175","Jones","Caldwell","caldwell-jones","1610612755","PHI"
"2249","1630637","Jones","Carlik","carlik-jones","1610612741","CHI"
"2250","279","Jones","Charles","charles-jones","1610612764","WAS"
"2251","77178","Jones","Charles","charles-jones","1610612756","PHX"
"2252","1869","Jones","Charles R.","charles-r-jones","1610612746","LAC"
"2253","1641732","Jones","Colby","colby-jones","1610612758","SAC"
"2254","2563","Jones","Dahntay","dahntay-jones","1610612763","MEM"
